Zeit;EventTyp;VonZustand;ZuZustand;PatientId;ArztId;SchwesterId
094.58;behandlung_nicht_fertig;;;13;;
094.58;startet_rezeption;;;13;;
094.74;betritt_wartezimmer_fuer_arzt;;;12;;
095.40;beendet_rezeption;;;13;;
095.40;rezeption_hat_termin;;;13;;
095.40;hat_termin;;;13;;
095.40;keine_schwester_vorbereitung;;;13;;
095.40;ueberspringt_schwester;;;13;;
095.40;geht_ins_wartezimmer_fuer_arzt;;;13;;
095.40;rezeption_frei;;;14;;
095.40;betritt_rezeption;;;14;;
095.40;behandlung_nicht_fertig;;;14;;
095.40;startet_rezeption;;;14;;
095.53;beendet_rezeption;;;14;;
095.53;rezeption_hat_termin;;;14;;
095.53;hat_termin;;;14;;
095.53;keine_schwester_vorbereitung;;;14;;
095.53;ueberspringt_schwester;;;14;;
095.53;geht_ins_wartezimmer_fuer_arzt;;;14;;
095.53;rezeption_frei;;;15;;
095.53;betritt_rezeption;;;15;;
095.53;behandlung_nicht_fertig;;;15;;
095.53;startet_rezeption;;;15;;
095.57;betritt_wartezimmer_fuer_arzt;;;13;;
095.70;betritt_wartezimmer_fuer_arzt;;;14;;
096.30;beendet_arzt_behandlung;;;10;2;
096.30;geht_nach_arzt_zur_rezeption;;;10;;
096.30;verlaesst_wartezimmer_fuer_arzt;;;11;;
096.30;geht_zum_arzt;;;11;;
096.46;betritt_rezeption_warteschlange;;;10;;
096.46;rezeption_nicht_frei;;;10;;
096.46;wartet_in_rezeption_warteschlange;;;10;;
096.46;betritt_arztzimmer;;;11;;
096.46;startet_arzt_behandlung;;;11;2;
098.89;beendet_rezeption;;;15;;
098.89;rezeption_ohne_termin;;;15;;
098.89;hat_keinen_termin;;;15;;
098.89;benoetigt_schwester_vorbereitung;;;15;;
098.89;schwester_frei;;;15;;
098.89;geht_zur_schwester;;;15;;
098.89;rezeption_frei;;;10;;
098.89;betritt_rezeption;;;10;;
098.89;behandlung_bereits_fertig;;;10;;
098.89;startet_rezeption;;;10;;
099.06;betritt_schwesterzimmer;;;15;;
099.06;startet_schwester_prozess;;;15;;3
100.00;beendet_rezeption;;;10;;
100.00;macht_folgetermin_aus_oder_rezept;;;10;;
100.00;geht_zum_ausgang;;;10;;
100.08;verlaesst_klinik;;;10;;
104.85;betritt_klinik;;;16;;
104.85;geht_zur_rezeption;;;16;;
104.93;betritt_rezeption_warteschlange;;;16;;
104.93;rezeption_frei;;;16;;
104.93;betritt_rezeption;;;16;;
104.93;behandlung_nicht_fertig;;;16;;
104.93;startet_rezeption;;;16;;
104.98;beendet_rezeption;;;16;;
104.98;rezeption_hat_termin;;;16;;
104.98;hat_termin;;;16;;
104.98;benoetigt_schwester_vorbereitung;;;16;;
104.98;schwester_frei;;;16;;
104.98;geht_zur_schwester;;;16;;
105.15;betritt_schwesterzimmer;;;16;;
105.57;betritt_klinik;;;17;;
105.57;geht_zur_rezeption;;;17;;
105.65;beendet_schwester_prozess;;;15;;3
105.65;geht_ins_wartezimmer_fuer_arzt;;;15;;
105.65;startet_schwester_prozess;;;16;;3
105.65;betritt_rezeption_warteschlange;;;17;;
105.65;rezeption_frei;;;17;;
105.65;betritt_rezeption;;;17;;
105.65;behandlung_nicht_fertig;;;17;;
105.65;startet_rezeption;;;17;;
105.82;betritt_wartezimmer_fuer_arzt;;;15;;
106.19;betritt_klinik;;;18;;
106.19;geht_zur_rezeption;;;18;;
106.27;betritt_rezeption_warteschlange;;;18;;
106.27;rezeption_nicht_frei;;;18;;
