Prognosemodell-Auswertung
==================================================
Prognoseprüfungen gesamt: 6.334
Richtig (+/-30 % oder +/-5 min): 5.263
Trefferquote: 83,09 %
Prognose-Abbrüche: 55
Aufnahmeprognose-Abweisungen: 97
Mittlere geschaetzte Restzeit: 43,54 min
Mittlere tatsaechliche Restzeit: 49,48 min
Mittlere absolute Abweichung: 12,42 min
Mittlere prognostizierte Bearbeitungs-Restzeit: 8,20 min
Mittlere gesampelte Bearbeitungs-Restzeit: 8,20 min
Mittlere absolute Bearbeitungs-Abweichung: 0,00 min

Trefferquote je Phase
--------------------------------------------------
Ankunft: 945/1281 (73,77 %) | Prognose 75,51 min | Ist 79,36 min | abs. Abw. 23,98 min
  Bearbeitung: Prognose 12,12 min | Sample 12,12 min | abs. Abw. 0,00 min
NachArzt: 1219/1219 (100,00 %) | Prognose 17,45 min | Ist 17,47 min | abs. Abw. 0,02 min
  Bearbeitung: Prognose 1,16 min | Sample 1,16 min | abs. Abw. 0,00 min
NachRezeption: 993/1230 (80,73 %) | Prognose 43,75 min | Ist 52,48 min | abs. Abw. 13,25 min
  Bearbeitung: Prognose 10,08 min | Sample 10,08 min | abs. Abw. 0,00 min
NachSchwester: 569/688 (82,70 %) | Prognose 42,99 min | Ist 50,99 min | abs. Abw. 12,17 min
  Bearbeitung: Prognose 7,64 min | Sample 7,64 min | abs. Abw. 0,00 min
VorArzt: 989/1228 (80,54 %) | Prognose 35,24 min | Ist 42,76 min | abs. Abw. 11,07 min
  Bearbeitung: Prognose 7,60 min | Sample 7,60 min | abs. Abw. 0,00 min
VorSchwester: 548/688 (79,65 %) | Prognose 45,21 min | Ist 55,63 min | abs. Abw. 14,00 min
  Bearbeitung: Prognose 12,06 min | Sample 12,06 min | abs. Abw. 0,00 min


Details
PatientId;Phase;ZeitpunktMin;PrognoseRestMin;IstRestMin;AbweichungMin;AbweichungProzent;PrognoseBearbeitungsRestMin;GesampelteBearbeitungsRestMin;AbweichungBearbeitungMin;AbweichungBearbeitungProzent;Korrekt;PrognoseFertigBisSchichtende
15;VorArzt;54.07;19.22;14.97;4.25;28.39;5.12;5.12;-0.00;-0.00;1;1
15;NachArzt;66.29;2.75;2.75;0.00;0.00;2.50;2.50;-0.00;-0.00;1;1
17;Ankunft;51.27;28.86;20.98;7.88;37.55;10.21;10.21;0.00;0.00;0;1
17;NachRezeption;58.32;13.94;13.94;0.00;0.00;8.41;8.41;0.00;0.00;1;1
17;VorSchwester;58.32;13.94;13.94;0.00;0.00;8.41;8.41;0.00;0.00;1;1
17;NachSchwester;61.74;10.51;10.51;0.00;0.00;5.15;5.15;0.00;0.00;1;1
17;VorArzt;66.69;5.57;5.57;0.00;0.00;5.15;5.15;0.00;0.00;1;1
17;NachArzt;72.00;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
16;Ankunft;45.90;32.14;29.44;2.70;9.17;12.02;12.02;0.00;0.00;1;1
16;NachRezeption;54.76;23.74;20.59;3.15;15.32;10.43;10.43;-0.00;-0.00;1;1
16;VorArzt;58.68;17.23;16.66;0.57;3.41;10.43;10.43;-0.00;-0.00;1;1
16;NachArzt;73.82;1.53;1.53;0.00;0.00;0.88;0.88;-0.00;-0.00;1;1
5;Ankunft;26.90;53.81;51.70;2.11;4.08;11.57;11.57;0.00;0.00;1;1
5;NachRezeption;29.70;46.42;48.89;-2.47;-5.04;10.45;10.45;0.00;0.00;1;1
5;VorSchwester;29.70;46.42;48.89;-2.47;-5.04;10.45;10.45;0.00;0.00;1;1
5;NachSchwester;34.15;41.98;44.44;-2.47;-5.55;6.17;6.17;0.00;0.00;1;1
5;VorArzt;69.54;9.05;9.05;0.00;0.00;6.17;6.17;0.00;0.00;1;1
5;NachArzt;78.34;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
21;Ankunft;70.72;7.88;7.88;0.00;0.00;5.45;5.45;0.00;0.00;1;1
21;NachRezeption;72.08;7.79;6.51;1.28;19.71;4.17;4.17;0.00;0.00;1;1
21;VorArzt;74.01;5.84;4.59;1.26;27.37;4.17;4.17;0.00;0.00;1;1
21;NachArzt;76.66;1.94;1.94;0.00;0.00;1.69;1.69;0.00;0.00;1;1
23;Ankunft;73.37;6.54;7.54;-1.00;-13.30;2.08;2.08;0.00;0.00;1;1
